1,1,1,1,1,1,1,1,1,1,1,1,1.11111111111111,1,1
1.22222222222222,1,1,1,1,1,1,1,1,1,1,1,1.22222222222222,1,1
1.44444444444444,1.33333333333333,1,1.77777777777778,1,1.11111111111111,1.25,1.11111111111111,1,1,1.22222222222222,1,1.77777777777778,1,1.11111111111111
1.88888888888889,1.77777777777778,1.33333333333333,1.88888888888889,1.55555555555556,1,1.44444444444444,1.125,1.77777777777778,1.66666666666667,1.22222222222222,1,2,1.33333333333333,1.33333333333333
2,1.77777777777778,1.88888888888889,2,1.55555555555556,1.66666666666667,2,1.33333333333333,2,2,1.55555555555556,1,2,1,1.88888888888889
2,2,2,2,2,2,2,1.77777777777778,2,2,2,2,2,1.44444444444444,2
2,2,2,2,2,2,2,1.77777777777778,2,2,2,2,2,1.77777777777778,2
1,1,1,1,1,1,1,1,1,1,1,1,1.11111111111111,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.125,1,1,1,1,1,1.11111111111111,1,1,1,1,1,1.11111111111111,1,1
1.5,1.11111111111111,1,1,1,1,1.11111111111111,1,1,1.22222222222222,1.22222222222222,1,1.5,1.11111111111111,1
2,1.88888888888889,2,1.875,1.55555555555556,1,1.88888888888889,1.75,2,2,2,1,2,2,2
1.88888888888889,2,2,2,2,1.33333333333333,2,2,2,2,2,1.75,1.88888888888889,2,2
2,2,2,2,2,2,2,1.88888888888889,2,2,2,2,2,1.88888888888889,2
1,1,1,1,1,1,1,1,1,1,1,1,1.11111111111111,1,1.11111111111111
1.77777777777778,1,1,1,1.11111111111111,1.55555555555556,1,1.55555555555556,1.11111111111111,1.11111111111111,1.22222222222222,1,1.11111111111111,1.11111111111111,1.11111111111111
2,1.22222222222222,1.11111111111111,1.33333333333333,1.22222222222222,1.88888888888889,1,1.33333333333333,1.66666666666667,1.375,1.77777777777778,1.22222222222222,1.22222222222222,1,1.44444444444444
1.88888888888889,1.66666666666667,1.88888888888889,2,1.88888888888889,1.88888888888889,1.88888888888889,1.66666666666667,2,1.88888888888889,2,1.88888888888889,2,1.44444444444444,1.88888888888889
2,1.88888888888889,2,2,2,1.88888888888889,1.88888888888889,1.88888888888889,2,2,2,2,2,1.44444444444444,1.88888888888889
2,1.88888888888889,2,2,2,2,2,2,2,2,2,2,2,1.77777777777778,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1.11111111111111,1.22222222222222,1
1,1,1,1.11111111111111,1,1,1,1,1,1,1,1.11111111111111,1,1.11111111111111,1
1,1,1,1,1,1,1,1,1,1,1,1,1.44444444444444,1,1
1.25,1,1.11111111111111,1,1,1,1.375,1.22222222222222,1,1,1,1.33333333333333,1.66666666666667,1.22222222222222,1.55555555555556
2,1,1.77777777777778,1,1.25,1,1.44444444444444,1.22222222222222,1.11111111111111,1,1.55555555555556,1.85714285714286,1.88888888888889,1.11111111111111,2
2,1.77777777777778,2,1.77777777777778,1.5,1.22222222222222,1.77777777777778,1.33333333333333,1.625,1.33333333333333,2,2,1.88888888888889,1.55555555555556,2
2,2,2,2,2,2,2,1.88888888888889,1.88888888888889,2,2,1.88888888888889,2,1.77777777777778,2
